Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications,Academic_Stream,Education_Level,Age_Group,Work_Experience_Years,Career_Break,Career_Break_Months,Preferred_Work_Mode,Location_Preference,Family_Support_Score,English_Proficiency,Entrepreneurship_Interest,Risk_Tolerance,Leadership_Readiness,Certifications_Interest,Work_Life_Balance_Priority,Salary_Expectation_Lakh,Industry_Preference,Public_Speaking_Confidence,Conflict_Resolution_Skills,Stress_Management_Skills,Adaptability_Score,Mentoring_Experience,Innovation_Interest,Customer_Focus,Data_Driven_Thinking,Continuous_Learning,Career_Goal_Clarity,Willing_To_Relocate,Prefer_Corporate,Domain_Expertise_Depth,Current_Role_Success,Success_Percentage
Business,Industrial-Organizational Psychologist,2.873356164859434,9,2,2,0,7,0,2,4,2,3,3,1,0,0,Commerce,Masters,25-30,2,0,0,Remote,Tier1_City,1,4,0,2,4,3,3,49.64,Other,5,2,4,2,3,4,2,1,3,1,1,0,3,1,47.12
Physics,Analytical Chemist,4.960262844434224,1,2,4,1,5,0,0,1,1,2,1,2,2,0,Science,Masters,36-40,6,0,0,Remote,Tier1_City,5,4,0,5,4,2,4,7.87,Healthcare,4,1,1,5,2,3,3,3,2,2,1,0,1,3,48.46
Marketing,Industrial-Organizational Psychologist,2.7045496149226227,3,1,0,1,0,1,1,3,4,1,1,0,2,1,Commerce,Bachelors,18-24,10,1,32,Remote,Tier2_City,1,3,0,3,1,5,2,22.53,Manufacturing,5,1,2,5,3,4,4,3,3,5,0,1,1,1,60.68
Chemistry,Credit Analyst,3.883334984633262,2,0,1,0,4,0,2,0,1,2,4,4,2,1,Science,Bachelors,18-24,12,0,0,Flexible,Tier2_City,4,3,1,1,2,2,5,14.23,Finance,1,5,1,1,2,1,2,4,4,1,1,1,4,2,57.23
Marketing,Actuary,4.496645793640591,3,0,0,0,3,1,3,4,2,0,3,4,4,1,Commerce,Bachelors,18-24,10,0,0,Remote,Tier2_City,2,5,1,2,1,5,5,47.83,Healthcare,3,5,2,1,5,3,1,3,5,4,0,1,1,2,67.79
Marketing,Credit Analyst,3.705620114778968,7,2,0,1,4,0,0,4,0,3,0,2,0,0,Commerce,Masters,25-30,9,0,0,Hybrid,Tier2_City,4,1,2,4,2,3,4,32.88,Other,2,4,5,2,0,2,1,2,4,5,1,1,5,4,55.38
Medicine,Art Director,4.501931129408156,9,0,3,0,3,0,3,2,4,3,1,2,0,0,Science,Bachelors,36-40,4,1,24,Flexible,Tier2_City,3,4,3,3,4,3,4,31.06,Tech,2,5,1,2,5,2,3,5,1,5,0,0,5,4,51.8
Engineering,Sound Engineer,3.269254386923845,9,1,0,1,2,1,2,4,1,3,1,2,1,1,Science,Masters,18-24,11,1,43,Hybrid,Tier1_City,1,2,1,3,5,5,4,49.88,Education,4,2,4,3,2,0,3,4,1,5,1,1,1,3,62.37
Finance,Principal,3.2853958066204934,8,0,2,0,6,0,1,1,1,2,0,4,1,0,Commerce,Bachelors,31-35,2,0,0,Remote,Tier2_City,4,4,5,1,2,0,1,31.78,Other,1,5,3,1,0,5,1,1,4,4,0,1,4,2,41.24
Medicine,Astronomer,2.559329338817184,8,0,2,0,2,0,1,4,2,4,4,2,4,0,Science,Masters,25-30,13,0,0,Hybrid,Tier3_City,3,5,3,4,4,3,2,33.37,Tech,5,1,5,2,5,4,3,2,4,4,0,0,3,3,72.7
Biology,Biochemist,4.089511303719412,5,1,4,1,1,0,2,2,4,3,0,4,2,0,Science,Bachelors,36-40,1,0,0,Remote,Tier2_City,4,4,0,5,4,0,1,5.1,Manufacturing,1,5,2,1,0,5,1,1,5,3,1,1,5,1,51.03
Education,Architect,3.9481318318302856,8,1,2,1,6,1,3,0,4,1,4,1,1,1,Arts,Bachelors,18-24,12,0,0,Remote,Tier2_City,5,2,0,3,1,0,4,43.38,Finance,1,2,1,2,5,1,5,3,5,3,1,0,2,2,60.7
Psychology,Urban Planner,3.850394126156524,3,2,4,1,2,1,2,4,0,3,4,1,1,0,Arts,PhD,18-24,1,0,0,Flexible,Tier2_City,4,2,3,1,1,5,2,48.59,Education,4,4,5,4,1,2,1,3,1,3,1,1,3,4,51.99
Psychology,Risk Analyst,3.6762296044162297,4,2,0,1,2,0,0,2,4,1,2,0,3,1,Arts,Masters,18-24,4,0,0,Remote,Tier1_City,2,2,4,5,5,0,4,48.13,Finance,4,3,1,2,5,3,5,5,2,2,0,1,1,5,43.22
Psychology,Civil Engineer,2.6264530016966274,1,0,3,1,6,0,0,3,0,4,2,3,1,0,Arts,Bachelors,25-30,12,1,44,Office,Tier2_City,4,5,2,4,3,0,2,13.39,Manufacturing,5,1,4,2,5,5,4,1,4,4,1,1,1,2,56.51
Music,Financial Advisor,4.138881164360887,2,0,4,1,9,0,3,1,1,3,3,1,2,0,Arts,Masters,25-30,12,0,0,Hybrid,Tier1_City,4,4,2,3,0,1,5,13.62,Finance,5,2,1,4,4,5,4,2,5,2,1,1,5,3,63.72
Finance,Artist,3.225717729637252,6,2,3,0,5,1,1,2,2,4,0,0,2,1,Commerce,Bachelors,36-40,7,0,0,Remote,Tier2_City,4,5,4,5,3,2,1,20.2,Healthcare,3,2,2,4,5,1,4,1,4,2,0,1,4,4,48.21
Physics,Physical Chemist,2.783779285244042,6,1,1,1,4,0,0,3,1,0,0,2,1,0,Science,Masters,31-35,7,0,0,Hybrid,Tier2_City,4,2,5,5,3,0,4,17.58,Healthcare,1,3,2,3,4,5,2,1,1,4,0,0,4,1,47.13
Chemistry,Chemist,3.762901657880381,1,2,0,1,8,0,3,0,0,3,1,0,2,0,Science,Masters,31-35,13,0,0,Remote,Tier1_City,4,4,3,5,5,2,4,17.36,Other,5,4,3,2,5,0,1,1,5,4,1,1,3,1,60.46
Psychology,Nuclear Physicist,4.321223480693961,3,1,0,1,9,0,4,0,2,0,2,3,0,0,Arts,Bachelors,25-30,11,0,0,Hybrid,Tier2_City,1,3,3,3,2,0,3,31.45,Other,4,1,3,4,0,1,5,1,3,3,1,0,5,1,57.98
Medicine,Nurse,3.6085239149294304,3,1,1,0,9,1,3,4,0,2,3,1,0,0,Science,High School,18-24,4,0,0,Hybrid,Any,1,5,1,3,5,2,5,40.86,Other,3,4,2,3,5,0,5,3,1,1,1,0,2,4,42.69
Architecture,Aerospace Engineer,3.610551315883132,5,1,0,0,8,1,2,4,0,4,4,2,2,0,Interdisciplinary,Bachelors,25-30,12,1,17,Remote,Tier1_City,5,3,0,2,5,3,4,47.03,Other,3,3,2,3,4,1,5,5,4,2,0,0,1,3,63.13
Biology,Social Media Manager,3.5550225567120624,0,1,4,0,8,0,4,4,0,3,0,4,1,1,Science,Bachelors,40+,1,0,0,Office,Any,1,3,0,4,4,3,1,6.19,Manufacturing,4,1,2,1,4,3,1,2,5,4,0,1,5,2,53.72
Business,Advertising Manager,2.89019472591771,7,2,2,1,4,1,3,1,1,2,0,3,2,0,Commerce,Masters,36-40,12,0,0,Remote,Any,3,1,3,1,4,2,5,16.06,Finance,5,5,5,4,2,4,4,4,1,4,0,0,2,4,60.29
Music,Ecologist,2.856919012515301,6,2,1,1,5,1,2,4,1,4,0,3,4,0,Arts,Bachelors,36-40,3,1,44,Hybrid,Tier3_City,2,2,1,5,4,0,4,14.99,Other,4,4,1,5,4,2,2,3,4,3,1,0,1,5,56.59
Physics,Biotechnologist,2.9337219491165536,5,0,4,1,6,0,2,0,4,1,3,2,4,1,Science,Bachelors,36-40,6,1,25,Office,Tier3_City,4,3,5,2,0,1,1,19.8,Manufacturing,5,5,5,4,4,1,1,3,2,3,1,0,4,2,47.39
Marketing,Composer,4.216463072378327,7,1,4,1,1,0,3,2,1,3,1,3,2,1,Commerce,Masters,18-24,13,1,45,Hybrid,Tier2_City,4,5,5,1,2,2,3,22.94,Education,4,1,4,4,4,1,2,2,5,2,1,1,3,4,64.59
Biology,Conductor,4.946352464246979,9,2,1,1,7,0,1,1,0,0,2,2,0,0,Science,PhD,18-24,5,1,24,Flexible,Tier2_City,4,2,1,2,2,4,3,21.29,Other,4,3,3,3,5,3,2,2,2,1,0,0,2,2,41.01
Finance,Artist,4.198079717565735,5,1,2,0,0,1,2,3,1,4,1,0,4,1,Commerce,Bachelors,18-24,9,1,43,Hybrid,Any,5,2,2,3,4,1,1,47.75,Finance,2,5,1,4,1,3,2,5,1,1,1,0,5,3,48.03
Medicine,Sound Engineer,3.314271540701782,1,0,2,1,8,0,2,3,3,0,0,1,1,0,Science,Bachelors,25-30,6,0,0,Flexible,Tier1_City,5,5,2,5,3,4,5,23.55,Healthcare,5,5,3,4,4,2,1,4,5,5,1,0,4,5,54.23
Business,Physical Chemist,4.489196382691634,5,1,4,0,7,0,3,4,1,4,1,2,3,1,Commerce,Bachelors,18-24,4,1,11,Remote,Tier1_City,3,4,3,1,0,2,1,28.92,Tech,1,2,4,3,2,1,4,3,4,5,1,0,5,2,57.7
Computer Science,Pharmacist,3.138871932113271,6,2,0,1,1,0,4,0,3,2,1,2,3,1,Science,High School,25-30,1,0,0,Flexible,Tier1_City,4,5,5,1,3,0,1,38.19,Healthcare,2,1,2,3,3,3,4,5,2,3,0,0,3,5,38.51
Finance,Biomedical Engineer,3.891217942549405,8,1,4,1,9,0,0,0,0,1,1,3,3,1,Commerce,PhD,31-35,7,0,0,Hybrid,Tier3_City,5,4,2,1,1,4,3,37.08,Finance,2,3,3,1,1,4,3,3,1,2,0,0,3,3,43.1
Business,Civil Engineer,3.079942737409308,3,1,0,0,1,1,4,4,1,0,3,2,4,0,Commerce,Bachelors,36-40,13,0,0,Office,Tier1_City,4,2,1,1,2,2,3,30.4,Finance,2,2,2,1,2,0,5,5,4,5,1,0,2,2,63.98
Business,Physicist,3.0056225127421508,1,0,1,0,0,1,4,1,1,2,0,1,3,0,Commerce,Masters,31-35,11,0,0,Flexible,Tier1_City,1,5,4,1,2,1,3,43.46,Finance,2,4,3,4,0,0,5,5,4,2,0,0,3,5,56.71
Biology,Forensic Psychologist,3.609086011677549,1,2,1,0,2,1,1,0,0,1,3,0,0,1,Science,Bachelors,36-40,1,0,0,Hybrid,Tier3_City,4,3,0,2,3,0,4,32.34,Finance,1,3,4,4,2,3,4,4,4,1,1,0,3,1,33.94
Chemistry,Graphic Designer,4.866729898336494,3,1,2,1,9,0,1,2,4,2,2,4,4,0,Science,Masters,18-24,11,0,0,Flexible,Tier2_City,3,5,3,5,0,4,4,44.11,Other,2,2,3,2,3,2,5,1,4,3,1,1,5,2,61.76
Chemistry,Market Research Analyst,2.747318879146043,0,0,3,0,8,1,2,3,2,2,2,3,0,1,Science,Masters,18-24,7,0,0,Hybrid,Tier2_City,3,3,5,3,2,2,2,17.23,Education,1,4,4,5,1,3,4,3,2,2,0,0,2,5,58.83
Marketing,Social Media Manager,2.717753046154035,1,0,0,1,8,0,2,2,0,3,1,4,3,0,Commerce,Masters,31-35,14,1,54,Hybrid,Tier1_City,5,3,2,3,3,0,4,9.21,Tech,1,3,1,2,3,3,2,5,4,1,1,1,3,3,59.35
Chemistry,Teacher,4.553596598247568,7,0,3,0,2,0,4,3,4,3,1,0,2,0,Science,Bachelors,25-30,6,1,55,Hybrid,Tier1_City,4,2,2,3,5,0,5,41.52,Other,2,2,5,2,5,0,3,5,3,1,0,1,1,1,55.94
Art,Biotechnologist,4.480759524314577,2,1,0,0,1,1,4,2,0,4,1,1,4,0,Arts,High School,25-30,2,0,0,Remote,Tier1_City,3,4,1,3,5,3,5,20.98,Healthcare,3,3,4,4,0,3,5,2,5,2,0,1,4,3,46.32
Marketing,Artist,3.3043615950727245,7,1,4,0,6,1,1,4,3,4,1,2,4,0,Commerce,Bachelors,25-30,12,1,33,Hybrid,Tier2_City,1,4,2,2,0,0,3,33.6,Education,1,5,3,3,0,2,2,1,4,2,1,0,3,4,57.49
Finance,Curriculum Developer,4.089385649689982,4,1,0,0,7,0,1,3,2,0,4,2,1,0,Commerce,PhD,25-30,3,0,0,Flexible,Tier3_City,5,3,0,4,3,2,1,37.65,Manufacturing,2,2,1,3,5,0,5,2,4,5,1,0,3,4,64.17
Medicine,Construction Manager,4.152942277434062,7,0,4,0,4,0,1,0,0,3,3,3,0,1,Science,Masters,25-30,12,1,25,Office,Tier3_City,1,4,3,5,5,1,3,18.36,Finance,4,5,4,5,0,5,3,1,3,5,1,0,3,3,66.82
Medicine,Chemist,4.857015788022702,4,2,2,0,8,1,3,3,0,2,2,2,4,0,Science,Masters,25-30,6,0,0,Office,Tier1_City,3,5,2,1,0,5,1,26.74,Healthcare,4,2,3,3,5,0,1,4,5,4,1,1,4,5,60.67
Law,Doctor,2.817907602438942,8,1,1,1,4,1,1,3,2,1,2,1,0,0,Arts,Masters,25-30,3,0,0,Hybrid,Any,5,3,4,4,4,3,3,45.06,Manufacturing,5,5,4,4,5,0,3,4,4,1,1,1,5,4,46.89
Medicine,Microbiologist,2.7384226086822667,8,1,4,1,7,1,3,0,0,0,0,3,1,1,Science,Masters,31-35,8,0,0,Hybrid,Tier1_City,4,3,4,3,0,2,3,44.35,Tech,1,1,4,3,5,4,2,2,4,4,1,0,2,3,51.27
Computer Science,Market Research Analyst,4.756013708608209,0,1,0,1,2,1,2,4,2,1,2,1,1,0,Science,Bachelors,25-30,6,0,0,Remote,Tier1_City,2,1,5,4,1,2,5,38.22,Healthcare,1,5,2,1,2,1,3,2,4,5,0,1,2,2,55.05
Education,Accountant,3.0590053545051807,5,2,0,1,5,0,2,2,4,3,0,4,1,0,Arts,PhD,25-30,0,0,0,Remote,Tier3_City,4,5,5,5,4,2,1,38.85,Education,4,1,3,5,2,3,2,1,3,1,0,1,2,1,50.84
Education,Art Therapist,2.7955168573755884,5,2,3,1,2,1,1,0,4,0,4,4,4,1,Arts,Bachelors,18-24,0,0,0,Remote,Tier1_City,4,4,3,1,3,4,2,45.19,Other,1,3,5,3,4,4,3,1,5,2,0,0,2,4,49.8
Marketing,Clinical Psychologist,4.516587709818074,5,0,4,0,0,0,1,0,0,1,2,2,4,1,Commerce,Bachelors,25-30,14,0,0,Office,Tier3_City,1,4,4,1,4,4,2,37.61,Manufacturing,1,4,4,3,0,3,5,2,1,1,0,1,2,2,41.9
Art,Data Scientist,4.7229785586251465,3,2,0,0,4,1,1,0,3,2,1,3,0,0,Arts,Bachelors,31-35,3,0,0,Office,Tier1_City,4,1,4,5,4,1,3,18.96,Healthcare,4,4,1,1,3,2,3,2,5,2,1,0,1,4,47.36
Law,Analytical Chemist,4.174600786400377,4,1,4,1,0,1,4,0,1,4,2,2,0,1,Arts,High School,31-35,13,0,0,Remote,Tier1_City,2,5,5,5,3,2,3,8.68,Other,2,4,3,2,0,5,3,5,3,3,1,0,5,1,56.71
Law,Biologist,4.768519433598878,9,1,2,1,8,0,2,3,2,4,3,0,2,0,Arts,Bachelors,31-35,13,1,22,Remote,Tier2_City,5,2,2,3,3,4,5,22.83,Other,4,1,5,4,1,1,4,3,5,2,0,1,5,2,65.0
Physics,Game Developer,3.2582719361383807,8,1,1,1,5,1,4,2,3,0,2,1,1,0,Science,Masters,18-24,12,0,0,Hybrid,Tier1_City,5,2,4,1,5,4,1,7.11,Other,3,4,3,3,2,3,3,2,4,1,1,1,3,4,62.28
Marketing,Art Director,4.34366110748132,3,0,2,1,0,0,1,3,0,4,2,2,1,0,Commerce,Bachelors,25-30,8,0,0,Remote,Tier1_City,2,5,2,4,1,4,3,8.44,Education,4,4,5,1,0,3,5,1,3,5,1,0,4,1,54.12
Computer Science,Social Media Manager,4.667283134080658,5,0,4,1,9,1,3,1,0,2,0,1,1,1,Science,Masters,25-30,12,0,0,Hybrid,Tier2_City,1,4,0,2,3,1,2,47.66,Finance,4,5,5,1,4,1,2,5,3,2,0,0,2,3,52.09
Physics,Risk Analyst,4.759313708526903,0,2,4,0,7,0,2,0,4,4,2,4,2,0,Science,Bachelors,25-30,3,1,33,Remote,Tier1_City,2,2,1,2,2,1,1,34.77,Healthcare,2,4,4,2,0,2,1,4,5,4,0,0,2,5,54.95
Biology,Acoustics Specialist,3.461365807565815,3,2,0,1,7,1,1,1,4,1,1,3,3,1,Science,Bachelors,25-30,12,0,0,Hybrid,Tier3_City,5,2,5,5,2,2,3,43.03,Other,4,1,2,3,4,2,1,4,5,3,0,0,5,5,61.66
Education,Pharmacist,3.203311159787905,6,0,0,1,1,0,1,2,1,0,2,2,1,1,Arts,Bachelors,25-30,4,1,50,Flexible,Tier3_City,2,4,2,3,1,3,1,33.22,Finance,4,5,3,2,2,3,1,4,2,3,1,0,5,3,36.89
Physics,Quantum Physicist,4.929637110397117,9,0,3,1,9,1,1,1,3,0,3,3,2,0,Science,Bachelors,25-30,0,0,0,Hybrid,Tier2_City,1,5,1,2,0,2,5,22.67,Other,2,1,1,5,2,1,1,5,5,2,1,1,4,4,42.43
Medicine,Architect,3.5183062568061656,2,0,4,0,0,1,2,0,2,2,0,0,1,0,Science,Masters,31-35,14,0,0,Office,Tier1_City,4,1,2,1,0,4,2,4.18,Manufacturing,4,2,1,1,4,0,2,2,5,4,0,1,4,5,53.12
Physics,Biomedical Engineer,2.536558980853718,9,0,4,0,2,0,4,0,4,2,1,1,0,1,Science,Bachelors,18-24,13,0,0,Hybrid,Tier2_City,4,5,2,5,2,5,1,47.92,Manufacturing,2,4,2,4,5,0,2,3,4,4,0,1,4,4,66.14
Chemistry,Nuclear Physicist,3.4662535707766247,2,0,1,1,9,0,4,1,0,1,4,4,1,1,Science,Masters,31-35,1,0,0,Hybrid,Tier3_City,5,1,3,4,3,4,2,6.33,Manufacturing,3,1,1,1,1,5,1,4,1,1,0,0,2,3,42.86
Finance,Digital Marketing Specialist,3.4800778868775826,2,2,3,0,5,1,2,1,3,4,3,1,4,0,Commerce,Bachelors,18-24,10,0,0,Office,Tier1_City,1,5,2,5,1,0,3,31.68,Finance,2,1,3,2,5,4,3,2,1,3,0,0,5,4,57.32
Finance,Legal Analyst,2.595387400839292,0,0,0,1,8,1,3,0,4,0,1,4,4,1,Commerce,Masters,18-24,3,0,0,Hybrid,Tier1_City,4,2,4,4,0,5,4,7.8,Finance,1,5,1,4,5,5,3,4,1,2,0,1,1,3,41.66
Chemistry,Physical Chemist,3.2662602292602942,2,1,0,1,3,1,1,2,2,4,2,1,3,1,Science,PhD,40+,11,0,0,Remote,Tier3_City,4,3,4,5,0,5,1,16.35,Other,1,2,3,4,2,1,4,4,5,4,1,0,4,2,71.89
Architecture,Teacher,3.5313730571655166,4,0,3,1,6,1,2,0,3,3,2,2,4,1,Interdisciplinary,Masters,40+,3,1,34,Remote,Tier2_City,4,3,2,5,4,2,2,11.73,Education,2,2,5,1,4,2,2,4,1,2,0,1,4,5,43.03
Computer Science,Risk Analyst,4.389946181499596,5,0,4,1,2,1,0,2,2,4,3,1,1,1,Science,Bachelors,18-24,10,0,0,Office,Tier2_City,3,4,5,5,2,4,1,29.02,Healthcare,4,4,4,4,2,4,4,1,2,1,0,1,5,5,48.7
Engineering,Construction Manager,3.267686371373522,7,2,4,0,4,0,2,1,3,4,4,2,3,0,Science,High School,25-30,9,0,0,Hybrid,Tier1_City,4,5,5,4,3,4,3,44.69,Education,5,3,2,3,0,2,5,5,3,2,1,1,1,5,55.3
Architecture,Mechanical Engineer,3.674501745995192,1,1,0,1,5,0,3,0,1,0,1,4,2,1,Interdisciplinary,Bachelors,18-24,5,0,0,Hybrid,Tier3_City,3,5,5,4,1,3,3,32.87,Finance,5,3,2,1,3,4,2,5,2,2,1,1,2,2,36.44
Education,Special Education Teacher,4.620748029991665,0,1,1,0,7,1,1,1,4,1,2,2,2,0,Arts,Masters,25-30,12,0,0,Remote,Tier1_City,2,4,0,5,0,0,2,34.22,Healthcare,3,5,1,2,1,2,1,1,2,4,0,0,2,1,58.4
Education,Chemist,4.055350498078875,5,2,1,1,6,1,1,2,3,0,4,1,3,1,Arts,Bachelors,36-40,5,0,0,Remote,Any,5,4,4,2,4,2,5,45.72,Manufacturing,3,4,3,5,3,3,1,4,1,4,0,1,1,5,52.11
Business,Software Developer,4.503297717249241,3,1,1,1,3,1,4,2,0,2,4,1,2,0,Commerce,Bachelors,40+,7,1,22,Office,Tier1_City,5,1,1,3,2,1,1,38.22,Education,5,5,4,2,1,2,4,5,1,4,1,0,2,4,50.72
Medicine,Teacher,4.147139364210368,0,1,3,1,7,0,3,2,3,0,1,3,3,0,Science,Masters,31-35,11,1,16,Office,Any,3,1,0,3,2,2,1,43.7,Education,5,4,1,3,0,1,2,5,2,5,1,0,2,5,61.28
Computer Science,Judge,4.484395864711654,5,0,0,1,7,1,1,1,1,1,0,4,2,0,Science,Bachelors,25-30,12,0,0,Hybrid,Tier1_City,1,3,1,3,1,5,3,22.57,Education,2,2,4,5,4,4,3,5,2,1,0,1,4,3,44.49
Chemistry,Financial Analyst,4.937223200307527,1,1,0,0,6,0,3,1,0,4,1,4,2,1,Science,Masters,31-35,8,1,59,Remote,Tier2_City,3,2,2,4,0,2,1,43.67,Finance,5,3,3,5,5,0,2,4,2,4,0,0,3,2,60.96
Computer Science,Education Administrator,4.208984928598337,0,0,3,0,2,1,4,2,3,1,3,3,0,0,Science,Bachelors,25-30,13,0,0,Flexible,Tier3_City,4,5,2,4,1,3,2,33.36,Healthcare,1,1,1,2,4,3,4,4,2,5,0,0,5,1,62.48
Law,Special Education Teacher,3.189581753121999,5,0,0,0,0,1,0,4,1,3,2,1,0,0,Arts,Bachelors,36-40,0,0,0,Hybrid,Tier1_City,1,3,2,2,1,2,4,9.37,Manufacturing,3,3,1,1,4,5,4,5,2,1,0,1,4,5,31.62
Business,Physicist,3.2737821981254807,6,2,2,0,3,0,3,0,4,3,0,2,1,0,Commerce,Masters,36-40,0,0,0,Office,Tier1_City,5,3,4,3,5,3,3,4.82,Finance,3,4,4,1,0,2,1,3,5,1,0,0,5,2,46.18
Chemistry,Quantum Physicist,2.662792171604535,2,0,3,0,7,1,3,1,4,2,2,3,4,0,Science,Bachelors,25-30,14,0,0,Remote,Any,2,2,5,3,4,5,4,14.47,Manufacturing,1,3,1,5,5,0,1,2,2,3,0,0,3,5,65.83
Biology,Illustrator,3.38832299997745,2,2,0,1,0,1,2,3,2,4,1,2,3,0,Science,Masters,25-30,5,0,0,Hybrid,Tier1_City,2,3,0,5,2,3,1,20.78,Tech,3,1,4,2,3,5,5,2,3,4,1,1,5,4,56.79
Engineering,Acoustics Specialist,2.8912785140802435,0,1,0,1,7,0,0,4,3,0,0,3,4,0,Science,Bachelors,25-30,3,0,0,Flexible,Tier3_City,3,3,1,4,5,4,5,42.37,Tech,5,2,3,2,2,5,4,4,1,3,0,0,1,5,41.75
Chemistry,Legal Consultant,3.064938370636668,5,2,4,0,1,0,3,4,2,1,0,2,2,0,Science,Bachelors,18-24,10,0,0,Hybrid,Tier1_City,3,2,3,3,3,1,2,37.84,Manufacturing,3,2,4,1,5,5,5,3,3,5,0,1,4,5,56.81
Business,Biochemist,4.789893501231424,6,0,1,1,9,0,1,0,3,3,4,2,0,1,Commerce,Masters,36-40,3,1,39,Office,Tier2_City,3,3,5,2,2,5,1,47.9,Tech,1,4,3,3,5,4,5,3,4,5,1,1,4,2,59.75
Architecture,Risk Analyst,4.94781119943366,7,2,1,0,3,0,2,4,1,1,0,4,2,0,Interdisciplinary,Masters,25-30,0,0,0,Office,Tier1_City,3,5,0,2,2,3,2,29.28,Healthcare,3,3,3,1,4,3,1,3,1,5,0,1,3,4,41.11
Physics,Physical Chemist,3.3253413310836786,6,2,0,0,9,0,2,3,2,1,1,3,0,0,Science,Masters,25-30,8,1,59,Remote,Tier3_City,5,4,1,3,4,0,1,38.14,Healthcare,5,4,5,1,2,5,3,1,3,2,0,0,1,3,56.2
Architecture,Curriculum Developer,2.82498578144011,7,1,4,1,4,0,3,3,4,3,3,4,1,1,Interdisciplinary,Bachelors,25-30,11,0,0,Office,Tier1_City,4,2,3,4,3,5,1,15.94,Finance,2,3,4,3,3,3,1,1,2,1,1,0,2,3,63.18
Education,Geneticist,4.120420717072838,4,1,3,0,5,0,0,1,0,0,1,0,0,1,Arts,Masters,36-40,10,0,0,Remote,Tier2_City,5,4,0,2,0,0,1,34.94,Manufacturing,5,5,2,1,2,3,2,5,2,2,1,0,3,5,37.09
Medicine,Illustrator,2.727504598539784,4,2,1,0,2,1,1,4,4,1,0,4,3,1,Science,Bachelors,18-24,2,1,26,Office,Tier1_City,2,5,0,5,3,1,3,36.19,Finance,3,4,5,5,2,5,3,3,1,4,0,1,5,2,47.19
Physics,Urban Planner,2.7119473165728367,4,1,3,1,9,1,0,0,2,2,1,2,2,1,Science,Bachelors,36-40,14,0,0,Flexible,Tier2_City,2,3,5,2,0,3,4,42.88,Healthcare,4,3,5,5,5,0,4,2,5,3,0,1,3,2,51.2
Law,Physical Chemist,2.528523571198716,0,0,0,1,4,0,4,4,0,3,4,3,4,1,Arts,PhD,36-40,4,0,0,Flexible,Tier1_City,2,3,2,1,3,5,5,28.21,Healthcare,3,5,4,5,2,5,3,1,2,2,0,1,1,2,60.63
Chemistry,Legal Secretary,4.870025577325906,8,0,3,1,1,0,1,2,2,4,4,3,3,0,Science,Bachelors,36-40,9,0,0,Office,Tier1_City,4,3,5,1,1,5,4,33.5,Healthcare,3,4,5,5,0,4,4,4,3,5,1,0,4,5,63.62
Computer Science,Analytical Chemist,3.971531342213607,8,0,4,0,2,1,3,0,3,2,1,1,3,1,Science,PhD,25-30,0,0,0,Hybrid,Tier2_City,4,4,0,4,3,1,4,12.54,Education,1,2,5,5,3,2,4,4,1,3,1,1,5,4,47.46
Psychology,School Counselor,3.240756992966422,0,2,2,1,9,1,3,4,4,3,2,2,2,1,Arts,Bachelors,18-24,7,0,0,Office,Tier1_City,1,1,5,3,5,4,2,37.63,Tech,4,5,1,2,2,4,5,3,5,5,0,1,2,4,69.93
Art,Electrical Engineer,3.604934898906684,2,0,4,1,8,1,1,0,3,1,2,2,3,1,Arts,Bachelors,25-30,2,0,0,Office,Any,4,4,5,4,5,0,3,42.41,Finance,1,4,3,2,4,3,2,5,2,1,1,0,2,5,40.01
Finance,Surgeon,3.780897887445323,6,2,4,1,7,1,0,4,3,3,4,3,4,0,Commerce,Bachelors,25-30,13,1,20,Remote,Tier3_City,2,1,5,4,4,5,3,30.91,Finance,1,1,2,3,4,4,1,3,5,5,1,0,2,2,75.59
Architecture,Industrial-Organizational Psychologist,4.798995437819756,3,2,1,0,8,0,2,2,4,0,2,4,2,1,Interdisciplinary,Masters,18-24,14,0,0,Remote,Tier2_City,4,4,1,4,0,2,1,8.44,Healthcare,5,2,4,4,5,2,5,4,3,5,1,0,1,3,66.15
Computer Science,Microbiologist,4.796985528704143,5,2,4,0,0,1,2,1,0,0,0,1,2,0,Science,Masters,31-35,0,0,0,Hybrid,Tier1_City,4,5,2,4,2,0,4,17.7,Education,2,5,1,5,3,5,5,4,1,1,1,1,4,4,28.18
Finance,Biologist,3.4926223820612803,0,1,0,1,4,1,3,4,4,2,0,4,3,1,Commerce,Masters,25-30,9,0,0,Remote,Tier2_City,4,4,0,5,4,3,5,25.35,Finance,3,3,2,4,5,5,2,5,2,4,1,0,4,5,70.63
Art,Actuary,4.763231544129482,3,0,4,0,4,0,1,4,4,3,1,4,4,1,Arts,Masters,36-40,5,0,0,Flexible,Tier1_City,3,4,2,5,5,1,2,34.83,Other,4,1,2,4,0,5,1,1,5,4,1,0,3,4,67.38
Engineering,Teacher,2.554336864641088,8,1,2,0,0,0,3,0,4,4,3,4,0,1,Science,Masters,18-24,0,0,0,Hybrid,Tier3_City,4,2,3,2,5,0,3,18.06,Finance,3,3,1,5,2,4,5,5,1,2,0,1,1,2,52.01
